Name,Symbol,IPO Date,IPO Price,total shares outstanding,trading volume on listing day,(IPO +7) Date,New Avg Price After 1 Week,Exchange,HQ Location,Industry
Digital World Acquisition,DWAC,03-09-21,,,,10-09-21,,,,
Oxus Acquisition,OXUS,03-09-21,,,,10-09-21,,,,
DTRT Health Acquisition,DTRT,02-09-21,,,,09-09-21,,,,
Generation Income Properties,GIPR,02-09-21,,,,09-09-21,,,,
Insight Acquisition,INAQ,02-09-21,,,,09-09-21,,,,
Concord Acquisition II,CNDA,01-09-21,,,,08-09-21,,,,
CHW Acquisition,CHWA,31-08-21,,,,07-09-21,,,,
DoubleDown Interactive Co.,DDI,31-08-21,,,,07-09-21,,,,
Alpine Acquisition,REVE,31-08-21,,,,07-09-21,,,,
SeqLL,SQL,27-08-21,,,,03-09-21,,,,
Minority Equality Opportunities Acquisition,MEOA,26-08-21,,,,02-09-21,,,,
Cascadia Acquisition,CCAI,26-08-21,,,,02-09-21,,,,
RenovoRx,RNXT,26-08-21,,,,02-09-21,,,,
IceCure Medical,ICCM,26-08-21,,,,02-09-21,,,,
Springwater Special Situations,SWSS,26-08-21,,,,02-09-21,,,,
Waverley Capital Acquisition 1,WAVC,20-08-21,,,,27-08-21,,,,
CENAQ Energy,CENQ,13-08-21,,,,20-08-21,,,,
AxonPrime Infrastructure Acquisition,APMI,13-08-21,,,,20-08-21,,,,
Dermata Therapeutics,DRMA,13-08-21,,,,20-08-21,,,,
DatChat,DATS,13-08-21,,,,20-08-21,,,,
Kensington Capital Acquisition V,KCGI,13-08-21,,,,20-08-21,,,,
Armada Acquisition I,AACI,13-08-21,,,,20-08-21,,,,
Jupiter Acquisition,JAQC,13-08-21,,,,20-08-21,,,,
Oxbridge Acquisition,OXAC,12-08-21,,,,19-08-21,,,,
PHP Ventures Acquisition,PPHP,12-08-21,,,,19-08-21,,,,
AfterNext HealthTech Acquisition,AFTR,12-08-21,,,,19-08-21,,,,
Southern States Bancshares,SSBK,12-08-21,,,,19-08-21,,,,
10x Capital Venture Acquisition II,VCXA,11-08-21,,,,18-08-21,,,,
Chardan NexTech Acquisition 2,CNTQ,11-08-21,,,,18-08-21,,,,
World Quantum Growth Acquisition,WQGA,11-08-21,,,,18-08-21,,,,
Decarbonization Plus Acquisition IV,DCRD,11-08-21,,,,18-08-21,,,,
Pono Capital,PONO,11-08-21,,,,18-08-21,,,,
TPB Acquisition I,TPBA,11-08-21,,,,18-08-21,,,,
Conyers Park III Acquisition,CPAA,10-08-21,,,,17-08-21,,,,
Avista Public Acquisition II,AHPA,10-08-21,,,,17-08-21,,,,
Abri SPAC I,ASPA,10-08-21,,,,17-08-21,,,,
Eliem Therapeutics,ELYM,10-08-21,,,,17-08-21,,,,
Nova Vision Acquisition,NOVV,06-08-21,,,,13-08-21,,,,
Adagio Therapeutics,ADGI,06-08-21,,,,13-08-21,,,,
Roth CH Acquisition IV Co.,ROCG,06-08-21,,,,13-08-21,,,,
Riverview Acquisition,RVAC,06-08-21,,,,13-08-21,,,,
Gladstone Acquisition,GLEE,05-08-21,,,,12-08-21,,,,
European Wax Center,EWCZ,05-08-21,,,,12-08-21,,,,
Weber,WEBR,05-08-21,,,,12-08-21,,,,
Blue Whale Acquisition I,BWC,04-08-21,,,,11-08-21,,,,
AMCI Acquisition II,AMCI,04-08-21,,,,11-08-21,,,,
Healthwell Acquisition I,HWEL,03-08-21,,,,10-08-21,,,,
ABVC BioPharma,ABVC,03-08-21,,,,10-08-21,,,,
Victoria's Secret &amp; Co.,VSCO,03-08-21,,,,10-08-21,,,,
Omega Therapeutics,OMGA,30-07-21,,,,06-08-21,,,,
XPAC Acquisition,XPAX,30-07-21,,,,06-08-21,,,,
Dole plc,DOLE,30-07-21,,,,06-08-21,,,,
MaxCyte,MXCT,30-07-21,,,,06-08-21,,,,
Rani Therapeutics Holdings,RANI,30-07-21,,,,06-08-21,,,,
RxSight,RXST,30-07-21,,,,06-08-21,,,,
Immuneering,IMRX,30-07-21,,,,06-08-21,,,,
IN8bio,INAB,30-07-21,,,,06-08-21,,,,
Tenaya Therapeutics,TNYA,30-07-21,,,,06-08-21,,,,
International Media Acquisition,IMAQ,29-07-21,,,,05-08-21,,,,
"Software Acquisition Group, Inc. III",SWAG,29-07-21,,,,05-08-21,,,,
Icosavax,ICVX,29-07-21,,,,05-08-21,,,,
Rallybio,RLYB,29-07-21,,,,05-08-21,,,,
Nuvalent,NUVL,29-07-21,,,,05-08-21,,,,
Robinhood Markets,HOOD,29-07-21,,,,05-08-21,,,,
Riskified,RSKD,29-07-21,,,,05-08-21,,,,
Traeger,COOK,29-07-21,,,,05-08-21,,,,
Metals Acquisition,MTAL,29-07-21,,,,05-08-21,,,,
MeridianLink,MLNK,28-07-21,,,,04-08-21,,,,
Snap One Holdings,SNPO,28-07-21,,,,04-08-21,,,,
DA32 Life Science Tech Acquisition,DALS,28-07-21,,,,04-08-21,,,,
Alpha Partners Technology Merger,APTM,28-07-21,,,,04-08-21,,,,
PowerSchool Holdings,PWSC,28-07-21,,,,04-08-21,,,,
Duolingo,DUOL,28-07-21,,,,04-08-21,,,,
Mercury Ecommerce Acquisition,MEAC,28-07-21,,,,04-08-21,,,,
Thornburg Income Builder Opportunities Trust,TBLD,28-07-21,,,,04-08-21,,,,
Williams Rowland Acquisition,WRAC,27-07-21,,,,03-08-21,,,,
Alpha Healthcare Acquisition III,ALPA,27-07-21,,,,03-08-21,,,,
Candel Therapeutics,CADL,27-07-21,,,,03-08-21,,,,
U.S. Century Bank,USCB,23-07-21,,,,30-07-21,,,,
Cytek Biosciences,CTKB,23-07-21,,,,30-07-21,,,,
Outbrain,OB,23-07-21,,,,30-07-21,,,,
Xponential Fitness,XPOF,23-07-21,,,,30-07-21,,,,
Belong Acquisition,BLNG,23-07-21,,,,30-07-21,,,,
Caribou Biosciences,CRBU,23-07-21,,,,30-07-21,,,,
Core &amp; Main,CNM,23-07-21,,,,30-07-21,,,,
SOPHiA GENETICS,SOPH,23-07-21,,,,30-07-21,,,,
Gambling.com Group,GAMB,23-07-21,,,,30-07-21,,,,
Instructure Holdings,INST,22-07-21,,,,29-07-21,,,,
Absci,ABSI,22-07-21,,,,29-07-21,,,,
Zenvia,ZENV,22-07-21,,,,29-07-21,,,,
Ryan Specialty Group Holdings,RYAN,22-07-21,,,,29-07-21,,,,
Couchbase,BASE,22-07-21,,,,29-07-21,,,,
Zevia PBC,ZVIA,22-07-21,,,,29-07-21,,,,
TC Bancshares,TCBC,21-07-21,,,,28-07-21,,,,
Paycor HCM,PYCR,21-07-21,,,,28-07-21,,,,
VTEX,VTEX,21-07-21,,,,28-07-21,,,,
Portage Fintech Acquisition,PFTA,21-07-21,,,,28-07-21,,,,
